"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","MUNICIPIO",3511003,"0,731",NA,NA,NA
"2015","MUNICIPIO",3511102,"0,785",NA,NA,NA
"2015","MUNICIPIO",3511201,"0,751",NA,NA,NA
"2015","MUNICIPIO",3511300,"0,605",NA,NA,NA
"2015","MUNICIPIO",3511300,"0,766",NA,NA,NA
"2015","MUNICIPIO",3511409,"0,729",NA,NA,NA
"2015","MUNICIPIO",3511508,"0,782",NA,NA,NA
"2015","MUNICIPIO",3511607,"0,706",NA,NA,NA
"2015","MUNICIPIO",3511706,"0,736",NA,NA,NA
"2015","MUNICIPIO",3557204,"0,729",NA,NA,NA
"2015","MUNICIPIO",3511904,"0,725",NA,NA,NA
"2015","MUNICIPIO",3512001,"0,757",NA,NA,NA
"2015","MUNICIPIO",3512100,"0,71",NA,NA,NA
"2015","MUNICIPIO",3512209,"0,708",NA,NA,NA
"2015","MUNICIPIO",3512308,"0,736",NA,NA,NA
"2015","MUNICIPIO",3512407,"0,758",NA,NA,NA
"2015","MUNICIPIO",3512506,"0,719",NA,NA,NA
"2015","MUNICIPIO",3512605,"0,69",NA,NA,NA
"2015","MUNICIPIO",3512704,"0,754",NA,NA,NA
"2015","MUNICIPIO",3512803,"0,769",NA,NA,NA
"2015","MUNICIPIO",3512902,"0,722",NA,NA,NA
"2015","MUNICIPIO",3513009,"0,78",NA,NA,NA
"2015","MUNICIPIO",3513108,"0,756",NA,NA,NA
"2015","MUNICIPIO",3513207,"0,734",NA,NA,NA
"2015","MUNICIPIO",3513306,"0,774",NA,NA,NA
"2015","MUNICIPIO",3513405,"0,788",NA,NA,NA
"2015","MUNICIPIO",3513504,"0,737",NA,NA,NA
"2015","MUNICIPIO",3513603,"0,684",NA,NA,NA
"2015","MUNICIPIO",3513702,"0,76",NA,NA,NA
"2015","MUNICIPIO",3513801,"0,757",NA,NA,NA
"2015","MUNICIPIO",3513850,"0,741",NA,NA,NA
"2015","MUNICIPIO",3513900,"0,734",NA,NA,NA
"2015","MUNICIPIO",3514007,"0,718",NA,NA,NA
"2015","MUNICIPIO",3514106,"0,725",NA,NA,NA
"2015","MUNICIPIO",3514205,"0,742",NA,NA,NA
"2015","MUNICIPIO",3514304,"0,738",NA,NA,NA
"2015","MUNICIPIO",3514403,"0,776",NA,NA,NA
