"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"2015","MUNICIPIO",3515129,"3174",3020,1517,1503,570,1613,837,287,790,426
"2015","MUNICIPIO",3515152,"18611",15721,8233,7488,4001,9417,2303,1914,4421,1153
"2015","MUNICIPIO",3515186,"43897",41907,20507,21400,8196,22765,10946,4075,11443,5882
"2015","MUNICIPIO",3515194,"4621",4244,2145,2099,1079,2351,814,527,1156,416
"2015","MUNICIPIO",3515202,"8462",8208,4133,4075,1511,4411,2286,749,2168,1158
"2015","MUNICIPIO",3515301,"2761",2658,1370,1288,601,1480,577,277,714,297
"2015","MUNICIPIO",3515350,"9642",9585,4832,4753,2443,5140,2002,1182,2595,976
"2015","MUNICIPIO",3515400,"15960",15320,7426,7894,3292,8006,4022,1728,4064,2102
"2015","MUNICIPIO",3515509,"68120",64696,31518,33178,11625,34663,18408,5720,17562,9896
"2015","MUNICIPIO",3515608,"5760",5534,2726,2808,978,2845,1711,477,1459,872
"2015","MUNICIPIO",3515657,"1669",1563,794,769,335,797,431,181,390,198
"2015","MUNICIPIO",3515707,"184700",168306,82143,86163,43822,97327,27157,21578,49856,14729
"2015","MUNICIPIO",3515806,"1634",1752,880,872,322,875,555,148,438,286
"2015","MUNICIPIO",3515905,"3011",3003,1496,1507,440,1509,1054,199,747,561
"2015","MUNICIPIO",3516002,"14000",12848,7055,5793,2494,7323,3031,1221,3026,1546
"2015","MUNICIPIO",3516101,"2799",2829,1383,1446,590,1454,785,296,735,415
"2015","MUNICIPIO",3516200,"342112",318640,155464,163176,70543,177409,70688,34665,89976,38535
"2015","MUNICIPIO",3516309,"168243",154472,76636,77836,43295,87254,23923,21303,44110,12423
"2015","MUNICIPIO",3516408,"145755",131604,67462,64142,31585,77511,22508,15417,36925,11800
"2015","MUNICIPIO",3516507,"2790",2708,1375,1333,458,1432,818,214,705,414
"2015","MUNICIPIO",3516606,"6894",7011,3506,3505,1368,3594,2049,683,1785,1037
"2015","MUNICIPIO",3516705,"44532",43115,20970,22145,8845,22946,11324,4322,11687,6136
"2015","MUNICIPIO",3516804,"4585",4193,2298,1895,814,2410,969,413,977,505
"2015","MUNICIPIO",3516853,"4688",4419,2284,2135,1010,2549,860,483,1228,424
"2015","MUNICIPIO",3516903,"10961",10669,5352,5317,1954,5744,2971,934,2902,1481
"2015","MUNICIPIO",3517000,"11287",10765,5861,4904,2127,6086,2552,1099,2461,1344
"2015","MUNICIPIO",3517109,"4773",4565,2289,2276,1015,2388,1162,510,1184,582
"2015","MUNICIPIO",3517208,"11633",10670,5367,5303,2454,5901,2315,1185,2937,1181
"2015","MUNICIPIO",3517307,"5696",5425,2697,2728,1269,2851,1305,635,1413,680
"2015","MUNICIPIO",3517406,"39813",37404,18520,18884,7854,20836,8714,3841,10442,4601
"2015","MUNICIPIO",3517505,"20037",17869,9029,8840,3446,10189,4234,1727,4924,2189
"2015","MUNICIPIO",3517604,"17879",17998,9153,8845,4703,9302,3993,2279,4615,1951
"2015","MUNICIPIO",3517703,"20911",19858,9884,9974,4974,10732,4152,2479,5281,2214
"2015","MUNICIPIO",3517802,"8525",8435,4195,4240,1593,4388,2454,802,2185,1253
"2015","MUNICIPIO",3517901,"10778",9976,5084,4892,2213,5495,2268,1094,2656,1142
"2015","MUNICIPIO",3518008,"2020",1970,963,1007,394,1003,573,197,527,283
"2015","MUNICIPIO",3518107,"6651",6404,3218,3186,1573,3380,1451,756,1676,754
"2015","MUNICIPIO",3518206,"32346",30597,15091,15506,5985,16681,7931,2815,8410,4281
"2015","MUNICIPIO",3518305,"28344",25844,12998,12846,6003,14203,5638,2863,7107,2876
"2015","MUNICIPIO",3518404,"119073",112072,53946,58126,22646,61903,27523,11167,31721,15238
"2015","MUNICIPIO",3518503,"16867",14565,8927,5638,2740,9139,2686,1337,3046,1255
"2015","MUNICIPIO",3518602,"38499",35486,17912,17574,8348,20620,6518,4037,10106,3431
"2015","MUNICIPIO",3518701,"311230",290752,141711,149041,70843,164474,55435,34896,84126,30019
"2015","MUNICIPIO",3518800,"1324781",1221979,595043,626936,298521,706019,217439,147377,360052,119507
"2015","MUNICIPIO",3518859,"7446",6966,3579,3387,1687,3676,1603,835,1755,797
"2015","MUNICIPIO",3518909,"5103",4754,2436,2318,1070,2512,1172,508,1229,581
"2015","MUNICIPIO",3519006,"9278",8696,4351,4345,1964,4674,2058,985,2316,1044
"2015","MUNICIPIO",3519055,"13375",11299,5725,5574,2501,6573,2225,1208,3243,1123
"2015","MUNICIPIO",3519071,"215819",192692,97439,95253,45247,114732,32713,22161,56004,17088
"2015","MUNICIPIO",3519105,"11066",10013,5164,4849,2068,5500,2445,1036,2547,1266
"2015","MUNICIPIO",3519204,"6481",6419,3249,3170,1292,3386,1741,606,1657,907
"2015","MUNICIPIO",3519253,"7970",6376,4196,2180,1296,3816,1264,590,1160,430
"2015","MUNICIPIO",3519303,"33535",30734,15814,14920,7355,17913,5466,3472,8666,2782
"2015","MUNICIPIO",3519402,"11861",10896,5414,5482,2064,5855,2977,1059,2823,1600
"2015","MUNICIPIO",3519501,"7376",6725,3395,3330,1540,3589,1596,739,1754,837
"2015","MUNICIPIO",3519600,"57649",53158,26212,26946,10514,30190,12454,5198,15140,6608
"2015","MUNICIPIO",3519709,"76432",71217,36216,35001,17696,38633,14888,8663,18964,7374
"2015","MUNICIPIO",3519808,"7997",7462,3795,3667,1646,4186,1630,775,2025,867
"2015","MUNICIPIO",3519907,"8036",7628,3779,3849,1605,3987,2036,807,2014,1028
"2015","MUNICIPIO",3520004,"24451",23362,11653,11709,5081,13515,4766,2499,6723,2487
"2015","MUNICIPIO",3520103,"29727",27952,13842,14110,5826,15491,6635,2915,7555,3640
"2015","MUNICIPIO",3520202,"9349",8831,4522,4309,2104,4654,2073,994,2333,982
"2015","MUNICIPIO",3520301,"30390",28841,14462,14379,7135,14187,7519,3513,7114,3752
"2015","MUNICIPIO",3520400,"32197",28196,14329,13867,6889,16533,4774,3305,8139,2423
"2015","MUNICIPIO",3520426,"10291",9025,4475,4550,2099,4128,2798,1016,2191,1343
"2015","MUNICIPIO",3520442,"26344",25064,12199,12865,4647,13646,6771,2262,7069,3534
"2015","MUNICIPIO",3520509,"231033",201619,100178,101441,42458,117279,41882,20817,58453,22171
"2015","MUNICIPIO",3520608,"4941",4825,2423,2402,927,2650,1248,455,1278,669
