"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",352890,3414,3269
"2015","MUNICIPIO",352900,225178,225032
"2015","MUNICIPIO",352910,1716,1693
"2015","MUNICIPIO",352920,25805,25805
"2015","MUNICIPIO",352930,81439,81439
"2015","MUNICIPIO",352940,444220,418151
"2015","MUNICIPIO",352950,NA,NA
"2015","MUNICIPIO",352960,3557,3388
"2015","MUNICIPIO",352965,1720,1608
"2015","MUNICIPIO",352970,18382,18433
"2015","MUNICIPIO",352980,12132,12078
"2015","MUNICIPIO",352990,11010,7532
"2015","MUNICIPIO",353000,1731,1710
"2015","MUNICIPIO",353010,28687,23290
"2015","MUNICIPIO",353020,10245,7619
"2015","MUNICIPIO",353030,56395,56395
"2015","MUNICIPIO",353040,NA,NA
"2015","MUNICIPIO",353050,64271,63788
"2015","MUNICIPIO",353060,391272,382273
"2015","MUNICIPIO",353070,139777,135583
"2015","MUNICIPIO",353080,85601,84745
"2015","MUNICIPIO",353090,3007,2740
"2015","MUNICIPIO",353100,2100,2045
"2015","MUNICIPIO",353110,48682,39831
"2015","MUNICIPIO",353120,6618,3485
"2015","MUNICIPIO",353130,49456,49049
"2015","MUNICIPIO",353140,21903,20841
"2015","MUNICIPIO",353150,19304,19304
"2015","MUNICIPIO",353160,3309,3309
"2015","MUNICIPIO",353170,2214,1648
"2015","MUNICIPIO",353180,55409,34355
"2015","MUNICIPIO",353190,30307,30307
"2015","MUNICIPIO",353200,11077,10659
"2015","MUNICIPIO",353205,4607,4607
"2015","MUNICIPIO",353210,3088,2850
"2015","MUNICIPIO",353215,2675,2000
"2015","MUNICIPIO",353220,4040,3976
"2015","MUNICIPIO",353230,6786,6786
"2015","MUNICIPIO",353240,6766,2278
"2015","MUNICIPIO",353250,NA,NA
"2015","MUNICIPIO",353260,9183,9047
"2015","MUNICIPIO",353270,4095,3864
"2015","MUNICIPIO",353280,NA,NA
"2015","MUNICIPIO",353282,4861,4757
"2015","MUNICIPIO",353284,1397,1047
"2015","MUNICIPIO",353286,NA,NA
"2015","MUNICIPIO",353290,10200,10200
"2015","MUNICIPIO",353300,19254,18525
"2015","MUNICIPIO",353310,2134,2071
"2015","MUNICIPIO",353320,2861,2861
"2015","MUNICIPIO",353325,4837,4837
"2015","MUNICIPIO",353330,3187,3158
"2015","MUNICIPIO",353340,56764,56764
"2015","MUNICIPIO",353350,36982,36394
"2015","MUNICIPIO",353360,7255,7255
"2015","MUNICIPIO",353370,3435,3435
"2015","MUNICIPIO",353380,2076,1690
"2015","MUNICIPIO",353390,50395,50395
"2015","MUNICIPIO",353400,3839,3818
"2015","MUNICIPIO",353410,6124,6081
"2015","MUNICIPIO",353420,5704,5677
"2015","MUNICIPIO",353430,42354,42354
"2015","MUNICIPIO",353440,694844,564500
"2015","MUNICIPIO",353450,2138,2099
"2015","MUNICIPIO",353460,29995,29406
"2015","MUNICIPIO",353470,110282,107434
"2015","MUNICIPIO",353475,9564,9478
"2015","MUNICIPIO",353480,7176,7176
"2015","MUNICIPIO",353490,NA,NA
"2015","MUNICIPIO",353500,10208,8442
"2015","MUNICIPIO",353510,10486,10473
"2015","MUNICIPIO",353520,7865,7392
"2015","MUNICIPIO",353530,20211,20211
"2015","MUNICIPIO",353540,15092,14851
"2015","MUNICIPIO",353550,41326,40769
"2015","MUNICIPIO",353560,NA,NA
"2015","MUNICIPIO",353570,NA,NA
"2015","MUNICIPIO",353580,13247,11450
"2015","MUNICIPIO",353590,3845,3757
"2015","MUNICIPIO",353600,9876,9651
"2015","MUNICIPIO",353610,3924,3266
"2015","MUNICIPIO",353620,13861,11417
"2015","MUNICIPIO",353625,1725,1725
"2015","MUNICIPIO",353630,14093,14093
"2015","MUNICIPIO",353640,6981,3192
"2015","MUNICIPIO",353650,97702,97702
"2015","MUNICIPIO",353657,1190,1173
"2015","MUNICIPIO",353660,7938,7788
"2015","MUNICIPIO",353670,44910,43675
"2015","MUNICIPIO",353680,1481,1223
"2015","MUNICIPIO",353690,1901,1658
"2015","MUNICIPIO",353700,12974,12329
"2015","MUNICIPIO",353710,45196,44667
"2015","MUNICIPIO",353715,2649,2621
"2015","MUNICIPIO",353720,6419,3646
"2015","MUNICIPIO",353730,59283,59283
"2015","MUNICIPIO",353740,23973,23010
"2015","MUNICIPIO",353750,5741,5741
"2015","MUNICIPIO",353760,60334,46192
"2015","MUNICIPIO",353770,5521,5447
"2015","MUNICIPIO",353780,29439,17174
"2015","MUNICIPIO",353790,23923,17324
"2015","MUNICIPIO",353800,160614,155294
"2015","MUNICIPIO",353810,15468,15468
"2015","MUNICIPIO",353820,7965,6304
"2015","MUNICIPIO",353830,2851,2728
"2015","MUNICIPIO",353850,13227,10317
"2015","MUNICIPIO",353860,17582,12489
"2015","MUNICIPIO",353870,391344,391240
"2015","MUNICIPIO",353880,26764,26112
"2015","MUNICIPIO",353890,24000,19450
"2015","MUNICIPIO",353900,11220,11220
"2015","MUNICIPIO",353910,14597,8471
"2015","MUNICIPIO",353920,25353,24049
"2015","MUNICIPIO",353930,68345,68345
"2015","MUNICIPIO",353940,11232,10169
"2015","MUNICIPIO",353950,38211,38211
"2015","MUNICIPIO",353960,4202,4137
"2015","MUNICIPIO",353970,2666,2654
"2015","MUNICIPIO",353980,113793,112155
"2015","MUNICIPIO",353990,5192,5155
"2015","MUNICIPIO",354000,21373,21375
"2015","MUNICIPIO",354010,3116,3119
