"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",355570,1354,1339
"2015","MUNICIPIO",355580,8475,8421
"2015","MUNICIPIO",355590,1108,1106
"2015","MUNICIPIO",355600,13426,12906
"2015","MUNICIPIO",355610,12416,12416
"2015","MUNICIPIO",355620,108534,103963
"2015","MUNICIPIO",355630,23917,23897
"2015","MUNICIPIO",355635,4751,3093
"2015","MUNICIPIO",355640,39686,39686
"2015","MUNICIPIO",355645,45049,14820
"2015","MUNICIPIO",355650,107737,98861
"2015","MUNICIPIO",355660,9561,9144
"2015","MUNICIPIO",355670,66872,59731
"2015","MUNICIPIO",355680,18372,18372
"2015","MUNICIPIO",355690,NA,NA
"2015","MUNICIPIO",355695,1554,1554
"2015","MUNICIPIO",355700,113584,112436
"2015","MUNICIPIO",355710,91278,91278
"2015","MUNICIPIO",355715,2104,1981
